what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.commons.ui,1267709793360
started,bundle,org.eclipse.mylyn.compatibility,3.0.0.v20080619-1900,org.eclipse.mylyn.compatibility,1267709793360
started,bundle,org.eclipse.mylyn.context.core,3.0.0.v20080619-1900,org.eclipse.mylyn.context.core,1267709793360
started,bundle,org.eclipse.mylyn.context.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.context.ui,1267709793360
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.monitor.ui,1267709793360
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.ui,1267709793360
started,bundle,org.eclipse.mylyn.team.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.team.ui,1267709793360
started,bundle,org.eclipse.pde.ui,3.4.0.v20080530,org.eclipse.pde.ui,1267709793360
started,bundle,org.eclipse.team.cvs.core,3.3.100.I20080605,org.eclipse.team.cvs.core,1267709793360
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1267709793360
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080522-2200,org.eclipse.ui.views.log,1267709793360
started,bundle,org.eclipse.wst.common.frameworks,1.1.200.v200805140020,org.eclipse.wst.common.frameworks,1267709793360
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.0.v200805140020,org.eclipse.wst.common.project.facet.core,1267709793376
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.0.v200806031937,org.eclipse.wst.ws.service.policy.ui,1267709793376
started,bundle,org.eclipse.wst.xml.core,1.1.300.v200806051910,org.eclipse.wst.xml.core,1267709793376
started,bundle,com.instantiations.common.core,5.3.2.200808052034,com.instantiations.common.core,1267709793376
started,bundle,com.instantiations.common.ui,5.3.2.200808052034,com.instantiations.common.ui,1267709793376
started,bundle,com.instantiations.eclipse.debug,5.3.2.200808052034,com.instantiations.eclipse.debug,1267709793392
started,bundle,com.instantiations.eclipse.startup,5.3.2.200808052034,com.instantiations.eclipse.startup,1267709793392
started,bundle,com.instantiations.eclipse.ui,5.3.2.200808052034,com.instantiations.eclipse.ui,1267709793408
started,bundle,com.instantiations.eclipse.util,5.3.2.200808052034,com.instantiations.eclipse.util,1267709793408
started,bundle,com.swtdesigner,6.7.0.200808052058,com.swtdesigner,1267709793423
started,bundle,com.objectaid.uml,0.9.65,com.objectaid.uml,1267709793423
started,bundle,com.objectaid.uml.cls,0.9.65,com.objectaid.uml.cls,1267709793423
started,bundle,de.loskutov.BytecodeOutline,2.2.7,de.loskutov.BytecodeOutline,1267709793423
