what,kind,bundleId,bundleVersion,description,time
started,bundle,org.springframework.ide.eclipse.aop.core,2.3.0.200912170948-RELEASE,org.springframework.ide.eclipse.aop.core,1267709793423
started,bundle,org.springframework.ide.eclipse.aop.ui,2.3.0.200912170948-RELEASE,org.springframework.ide.eclipse.aop.ui,1267709793423
started,bundle,org.springframework.ide.eclipse.beans.core,2.3.0.200912170948-RELEASE,org.springframework.ide.eclipse.beans.core,1267709793423
started,bundle,org.springframework.ide.eclipse.beans.ui,2.3.0.200912170948-RELEASE,org.springframework.ide.eclipse.beans.ui,1267709793423
started,bundle,org.springframework.ide.eclipse.core,2.3.0.200912170948-RELEASE,org.springframework.ide.eclipse.core,1267709793423
started,bundle,org.springframework.ide.eclipse.ui,2.3.0.200912170948-RELEASE,org.springframework.ide.eclipse.ui,1267709793423
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1267709793863
started,bundle,org.eclipse.epp.usagedata.ui,1.0.0.R200806162215,org.eclipse.epp.usagedata.ui,1267709794476
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1267709794822
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1267709796220
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1267709798750
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1267709809027
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1267709809042
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1267709811022
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1267709812389
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1267709812499
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1267709812782
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1267709812782
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1267709812782
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1267709812782
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1267709812782
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.301.v200805140145,org.eclipse.jst.server.websphere.core,1267709812782
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1267709812782
stopped,bundle,com.jprofiler.integrations.eclipse,5.1.4,com.jprofiler.integrations.eclipse,1267709812782
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1267709812782
