what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.workbench.texteditor,1269523944095
started,bundle,org.eclipse.update.configurator,3.2.200.v20080417,org.eclipse.update.configurator,1269523944095
started,bundle,org.eclipse.update.core,3.2.200.v20080515,org.eclipse.update.core,1269523944298
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1269523944298
started,bundle,org.eclipse.epp.usagedata.gathering,1.0.0.R200806162215,org.eclipse.epp.usagedata.gathering,1269523944298
started,bundle,org.eclipse.epp.usagedata.recording,1.0.0.R200806162215,org.eclipse.epp.usagedata.recording,1269523944298
started,bundle,org.eclipse.jdt.apt.core,3.3.100.v20080513-1235,org.eclipse.jdt.apt.core,1269523944298
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.100.v20080407-1345,org.eclipse.jdt.apt.pluggable.core,1269523944298
started,bundle,org.eclipse.jdt.core,3.4.0.v_874,org.eclipse.jdt.core,1269523944298
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1269523944298
started,bundle,org.eclipse.jdt.launching,3.4.0.v20080529-1300,org.eclipse.jdt.launching,1269523944298
started,bundle,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui,1269523944298
started,bundle,org.eclipse.mylyn.context.core,3.0.0.v20080619-1900,org.eclipse.mylyn.context.core,1269523944298
started,bundle,org.eclipse.mylyn.context.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.context.ui,1269523944298
started,bundle,org.eclipse.pde.ui,3.4.0.v20080530,org.eclipse.pde.ui,1269523944329
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080522-2200,org.eclipse.ui.views.log,1269523944329
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.0.v200805140020,org.eclipse.wst.common.project.facet.core,1269523944329
started,bundle,org.eclipse.wst.xml.core,1.1.300.v200806051910,org.eclipse.wst.xml.core,1269523944345
started,bundle,de.loskutov.BytecodeOutline,2.2.7,de.loskutov.BytecodeOutline,1269523944391
started,bundle,org.springframework.ide.eclipse.aop.core,2.3.0.200912170948-RELEASE,org.springframework.ide.eclipse.aop.core,1269523944391
started,bundle,org.springframework.ide.eclipse.aop.ui,2.3.0.200912170948-RELEASE,org.springframework.ide.eclipse.aop.ui,1269523944391
started,bundle,org.springframework.ide.eclipse.beans.core,2.3.0.200912170948-RELEASE,org.springframework.ide.eclipse.beans.core,1269523944391
started,bundle,org.springframework.ide.eclipse.beans.ui,2.3.0.200912170948-RELEASE,org.springframework.ide.eclipse.beans.ui,1269523944391
started,bundle,org.springframework.ide.eclipse.core,2.3.0.200912170948-RELEASE,org.springframework.ide.eclipse.core,1269523944391
started,bundle,org.springframework.ide.eclipse.ui,2.3.0.200912170948-RELEASE,org.springframework.ide.eclipse.ui,1269523944391
