what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080522-2200,org.eclipse.ui.views.log,1228382798732
started,bundle,org.eclipse.pde.ui,3.4.0.v20080530,org.eclipse.pde.ui,1228382798748
opened,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1228382798873
opened,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ProblemView,1228382798904
opened,view,org.eclipse.mylyn.tasks.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.ui.views.tasks,1228382799248
activated,perspective,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.JavaPerspective,1228382799295
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1228382799311
activated,view,org.eclipse.mylyn.tasks.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.ui.views.tasks,1228382802295
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1228382802295
activated,view,de.loskutov.BytecodeOutline,2.2.7,de.loskutov.bco.views.BytecodeOutlineView,1228382806545
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.views.showView,1228382806545
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1228382812139
started,bundle,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui,1228382812654
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080603-2000,org.eclipse.ltk.core.refactoring,1228382812732
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1228382812732
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1228382812920
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228382815436
started,bundle,com.instantiations.common.ui,5.3.2.200808052034,com.instantiations.common.ui,1228382818482
started,bundle,com.instantiations.eclipse.ui,5.3.2.200808052034,com.instantiations.eclipse.ui,1228382818498
started,bundle,com.swtdesigner,6.7.0.200808052058,com.swtdesigner,1228382818748
started,bundle,com.instantiations.common.core,5.3.2.200808052034,com.instantiations.common.core,1228382818795
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228382820264
started,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1228382820561
started,bundle,org.eclipse.wst.sse.ui,1.1.0.v200806041847,org.eclipse.wst.sse.ui,1228382820670
started,bundle,org.eclipse.wst.html.ui,1.0.300.v200805152207,org.eclipse.wst.html.ui,1228382820670
