what,kind,bundleId,bundleVersion,description,time
started,bundle,com.objectaid.uml.cls,0.9.65,com.objectaid.uml.cls,1228382749123
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228382760357
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228382775373
started,bundle,de.loskutov.BytecodeOutline,2.2.7,de.loskutov.BytecodeOutline,1228382775561
opened,view,de.loskutov.BytecodeOutline,2.2.7,de.loskutov.bco.views.BytecodeOutlineView,1228382775779
activated,view,de.loskutov.BytecodeOutline,2.2.7,de.loskutov.bco.views.BytecodeOutlineView,1228382775811
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.views.showView,1228382775811
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.views.showView,1228382775811
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228382785326
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1228382788123
started,bundle,org.eclipse.jdt.launching,3.4.0.v20080529-1300,org.eclipse.jdt.launching,1228382788186
started,bundle,org.eclipse.jst.servlet.ui,1.1.200.v200805150230,org.eclipse.jst.servlet.ui,1228382794873
started,bundle,org.eclipse.jdt.apt.core,3.3.100.v20080513-1235,org.eclipse.jdt.apt.core,1228382795061
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.100.v20080407-1345,org.eclipse.jdt.apt.pluggable.core,1228382795061
started,bundle,org.eclipse.jst.j2ee.core,1.1.200.v200806052000,org.eclipse.jst.j2ee.core,1228382795201
started,bundle,org.eclipse.jem,2.0.200.v200806051600,org.eclipse.jem,1228382795248
started,bundle,org.eclipse.jst.jee,1.0.100.v200805140020,org.eclipse.jst.jee,1228382795826
started,bundle,org.eclipse.wst.sse.core,1.1.300.v200805221633,org.eclipse.wst.sse.core,1228382795904
started,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1228382795951
started,bundle,org.eclipse.wst.xml.core,1.1.300.v200806051910,org.eclipse.wst.xml.core,1228382795951
started,bundle,org.eclipse.wst.common.modulecore,1.1.200.v200806091800,org.eclipse.wst.common.modulecore,1228382796123
started,bundle,org.eclipse.wst.validation,1.2.0.v200806051402,org.eclipse.wst.validation,1228382796186
started,bundle,org.eclipse.jst.j2ee,1.1.200.v200806051600,org.eclipse.jst.j2ee,1228382796295
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.0.v200805151903,org.eclipse.jst.common.project.facet.core,1228382796451
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228382798092
