what,kind,bundleId,bundleVersion,description,time
started,bundle,com.objectaid.uml,0.9.65,com.objectaid.uml,1228382009404
started,bundle,com.objectaid.uml.cls,0.9.65,com.objectaid.uml.cls,1228382009420
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228382017889
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228382056201
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.views.showView,1228382056201
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.views.showView,1228382056201
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228382057154
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228382059357
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228382061170
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228382688686
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228382697889
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.restartWorkbench,1228382698326
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1228382698498
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1228382698498
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1228382698514
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1228382698529
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1228382698545
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.301.v200805140145,org.eclipse.jst.server.websphere.core,1228382698545
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1228382698545
stopped,bundle,com.jprofiler.integrations.eclipse,5.1.2,com.jprofiler.integrations.eclipse,1228382698561
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1228382698561
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1228382698561
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.0.6.v200805152355,org.eclipse.datatools.connectivity.oda.template.ui,1228382698561
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.pde.ui,1228382698561
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080603,org.eclipse.pde.api.tools.ui,1228382698561
